['Name', 'ID', 'accstate', 'datastate', 'deviceMTM', 'datatype', 'extpool', 'exts', 'cap', 'volgrp', 'ranks', 'sam', 'perfgrp', 'resgrp', 'GUID']
['DBLIVE_ARCV_3203', '3203', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003203']
['DBLIVE_ARCV_3204', '3204', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003204']
['DBLIVE_ARCV_3205', '3205', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003205']
['DBLIVE_ARCV_3206', '3206', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003206']
['DBLIVE_ARCV_3207', '3207', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003207']
['DBLIVE_ARCV_3208', '3208', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003208']
['DBLIVE_ARCV_3209', '3209', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003209']
['DBLIVE_ARCV_320A', '320A', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000320A']
['DBLIVE_ARCV_320B', '320B', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000320B']
['DBLIVE_ARCV_320C', '320C', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000320C']
['DBLIVE_ARCV_320D', '320D', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000320D']
['DBLIVE_ARCV_320E', '320E', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000320E']
['DBLIVE_ARCV_320F', '320F', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000320F']
['DBLIVE_ARCV_3210', '3210', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003210']
['DBLIVE_ARCV_3211', '3211', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003211']
['DBLIVE_ARCV_3212', '3212', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003212']
['DBLIVE_ARCV_3213', '3213', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003213']
['DBLIVE_ARCV_3214', '3214', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003214']
['DBLIVE_ARCV_3215', '3215', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003215']
['DBLIVE_ARCV_3216', '3216', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003216']
['DBLIVE_ARCV_3217', '3217', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003217']
['DBLIVE_ARCV_3218', '3218', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003218']
['DBLIVE_ARCV_3219', '3219', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003219']
['DBLIVE_ARCV_321A', '321A', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000321A']
['DBLIVE_ARCV_321B', '321B', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000321B']
['DBLIVE_ARCV_321C', '321C', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000321C']
['DBLIVE_ARCV_321D', '321D', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000321D']
['DBLIVE_ASM_3220', '3220', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003220']
['DBLIVE_ASM_3221', '3221', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003221']
['DBLIVE_ASM_3222', '3222', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003222']
['DBLIVE_ASM_3223', '3223', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003223']
['DBLIVE_ASM_3224', '3224', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003224']
['DBLIVE_ASM_3225', '3225', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003225']
['DBLIVE_ASM_3226', '3226', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003226']
['DBLIVE_ASM_3227', '3227', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003227']
['DBLIVE_ASM_3228', '3228', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003228']
['DBLIVE_ASM_3229', '3229', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003229']
['DBLIVE_ASM_322A', '322A', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000322A']
['DBLIVE_ASM_322B', '322B', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000322B']
['DBLIVE_ASM_322C', '322C', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000322C']
['DBLIVE_ASM_322D', '322D', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000322D']
['DBLIVE_ASM_322E', '322E', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000322E']
['DBLIVE_ASM_322F', '322F', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000322F']
['DBLIVE_ASM_3230', '3230', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003230']
['DBLIVE_ASM_3231', '3231', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003231']
['DBLIVE_ASM_3232', '3232', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003232']
['DBLIVE_ASM_3233', '3233', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003233']
['DBLIVE_ASM_3234', '3234', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003234']
['DBLIVE_ASM_3235', '3235', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003235']
['DBLIVE_ASM_3236', '3236', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003236']
['DBLIVE_ASM_3237', '3237', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003237']
['DBLIVE_ASM_3238', '3238', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003238']
['DBLIVE_ASM_3239', '3239', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003239']
['DBLIVE_ASM_323A', '323A', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000323A']
['DBLIVE_ASM_323B', '323B', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000323B']
['DBLIVE_ASM_323C', '323C', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000323C']
['DBLIVE_ASM_323D', '323D', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000323D']
['DBLIVE_ASM_323E', '323E', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000323E']
['DBLIVE_ASM_3240', '3240', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003240']
['DBLIVE_ASM_3241', '3241', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4,V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003241']
