123480435 ; Cairo, Egypt, June 2019 ; 2019-06-25 ; 2019-07-12
123415269 ; Gaborone, Botswana, May 2019 ; 2019-05-14 ; 2019-05-23
123413411 ; Lusaka, Zambia, May 2019 ; 2019-05-28 ; 2019-05-30
123413317 ; Muscat, Oman, May 2019 ; 2019-05-30 ; 2019-05-30
123412837 ; San Francisco, CA, May 2019 ; 2019-05-06 ; 2019-05-12
